seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583700172,38,1,
1583730615,47,1,
1583804881,56,2,
1583981097,74,3,
1584055830,95,6,
1584063709,105,6,
1584137412,136,11,
1584225605,145,20,
1584333620,151,26,
1584412310,166,41,
1584498947,193,68,
1584598356,221,96,
1584661658,284,159,
1584734752,319,194,
1584836272,3100,223,5
1584921301,3600,327,8
1585004414,4500,415,10
1585081911,5300,618,12
1585184300,5898,875,19
1585257048,6500,1012,21
1585342922,8400,1291,27
1585434179,10200,1524,33
1585518899,11900,1993,34
1585602612,11900,2571,36
1585662022,14600,2571,36
1585688590,15600,3128,69
1585776709,16600,3557,85
1585858803,16600,3824,112
1585860363,18300,3824,112
1585950542,20015,4914,131
1585959062,20015,4915,132
1586038142,22029,5276,165
1586119922,23270,5675,165
1586121362,23270,5675,189
1586204943,26686,6906,206
1586290502,29036,7781,277
1586396702,31700,8781,335
1586463302,33502,9784,380
1586554262,36288,10538,448
1586635682,39831,11510,494
1586723426,41220,12035,554
1586811056,44309,13381,602
1586895451,45841,13989,671
1586985047,50143,14755,868
1587070922,53122,15884,971
1587155617,55462,16809,1036
1587252663,58213,17550,1086
1587334475,59759,17962,1127
1587436157,62806,19815,1331
1587503431,64192,20360,1423
1587587960,69918,22469,1544
1587681960,71497,23100,1639
1587762002,74038,23921,1764
1587849295,77602,24582,1862
1587946721,79811,25269,1924
1588050529,90746,25997,2012
1588117925,92745,26312,2012
1588118342,92745,26312,2089
1588205554,94818,26767,2168
1588293736,97133,27700,2257
1588390979,100257,28764,2339
1588466696,102493,29287,2436
1588566059,102493,29287,2495
1588644422,105330,29973,2556
1588730797,108643,30621,2633
1588799163,111447,30995,2718
1588883463,116174,31784,2797
1588979282,120541,32411,2874
1589078462,123569,32984,2932
1589147222,130192,33554,2967
1589241602,132508,33765,3008
1589328642,138424,34333,3041
1589420702,142943,34855,3125
1589489402,149562,35464,3219
1589598483,155908,36085,3285
1589660762,164755,36703,3339
1589737323,170607,37419,3408
1589831762,177679,38116,3449
1589940049,185520,38430,3472
1590027603,190718,39017,3529
1590074702,196447,39208,3582
1590220142,202328,39640,3637
1590270482,208367,40022,3675
1590371050,214136,40468,3693
