seconds_since_Epoch,tested,positive,deaths
1583651326,,8,
1583768769,,12,
1583855685,,13,
1583909676,13,13,
1583940693,21,21,
1584029116,23,23,
1584137412,39,39,
1584208421,51,51,
1584295521,56,56,
1584396921,57,57,
1584475630,1268,64,1
1584563350,1907,83,2
1584641940,2335,143,3
1584727343,5277,194,5
1584814996,6522,304,5
1584907292,8756,334,5
1584982168,10055,352,8
1585062732,11167,410,9
1585092445,13235,715,11
1585158458,13235,974,12
1585243622,21424,1396,18
1585339080,23666,1731,23
1585414054,23666,1781,23
1585415582,25260,2052,27
1585505264,25483,2552,34
1585588433,35880,2877,38
1585678676,42992,3266,41
1585762338,42992,3954,56
1585763700,47857,3997,58
1585847582,50679,4669,70
1585935363,55764,5330,90
1586031902,63751,6110,105
1586106182,70938,6812,127
1586191803,70938,7203,137
1586193363,85357,7276,140
1586278322,85357,8262,154
1586279402,88649,8262,154
1586368682,96258,9353,177
1586451902,96258,9410,177
1586457242,96258,10230,199
1586460362,106134,10230,199
1586539382,115918,11671,226
1586625362,120533,12561,254
1586708299,124553,13484,271
1586798081,133226,13906,287
1586883721,133226,14624,318
1586884443,146467,14624,318
1586971563,151810,15492,364
1587062999,158547,16455,393
1587142443,169536,17371,428
1587228842,169536,18215,453
1587242043,176239,18260,453
1587314942,176239,18923,477
1587321902,182710,18923,477
1587405602,190394,19458,495
1587491102,205399,20196,517
1587575313,205399,20842,532
1587587960,216783,21069,543
1587661123,225078,21944,561
1587761103,242547,22806,593
1587833703,242547,23452,614
1587842567,262816,23773,623
1587925502,276021,24631,648
1588014902,290517,25297,663
1588093322,290517,25484,668
1588097822,300384,26171,690
1588179723,300384,26516,711
1588182062,314790,27054,732
1588283882,314790,28087,782
1588287362,330300,28087,782
1588354904,351775,29229,816
1588437662,351775,30522,847
1588445522,380648,30522,847
1588527024,390560,31548,867
1588622342,407398,32332,884
1588698294,407398,33369,905
1588715179,427210,33369,906
1588791962,438938,34422,948
1588871582,438938,35390,973
1588883463,455162,35390,973
1588962543,477118,36609,1004
1589047202,489294,37860,1049
1589158202,513978,38869,1088
1589241602,525697,39869,1100
1589328642,538172,41048,1133
1589420702,587431,42403,1158
1589489402,623284,43851,1216
1589598483,645992,45198,1272
1589660762,678471,46999,1305
1589747643,693276,47784,1336
1589848383,723013,48693,1347
1589926423,744937,49912,1369
1590027603,770241,51323,1419
1590122437,800433,52268,1440
1590220143,834437,53449,1480
1590290743,870935,54509,1506
1590371050,870935,55348,1519
