seconds_since_Epoch,tested,positive,deaths
1583651326,14,1,
1583713441,21,4,
1583804881,34,6,
1583880060,54,8,
1583981097,64,8,
1584063709,118,11,
1584148400,153,14,
1584225605,155,16,
1584306715,254,20,
1584396920,317,22,1
1584498947,380,26,1
1584598356,489,35,1
1584661658,639,40,1
1584729642,639,47,1
1584750868,768,48,1
1584804875,768,54,1
1584890168,1571,99,1
1584982168,1866,104,1
1585004414,1866,124,1
1585092445,3022,157,1
1585175447,3300,198,1
1585259867,4016,248,1
1585344829,5123,302,1
1585431799,5541,394,1
1585439073,5541,394,9
1585518899,6018,439,9
1585603918,6810,480,11
1585689808,6810,591,17
1585693173,7556,591,17
1585776709,7900,680,18
1585778149,7900,680,20
1585881581,12804,770,31
1585950542,15572,831,37
1586038142,16663,917,40
1586126702,18767,955,45
1586210703,19955,1008,59
1586301722,21604,1149,65
1586385842,21620,1346,73
1586469902,23170,1452,77
1586477392,23170,1452,79
1586561102,24288,1693,90
1586641502,24567,1840,94
1586729403,25866,1963,97
1586815519,26683,2048,104
1586907782,27697,2210,115
1586992563,28324,2291,122
1587080222,29747,2429,129
1587161583,30596,2522,137
1587252663,32225,2707,144
1587334475,32319,2960,148
1587436157,32820,3050,154
1587506523,33328,3192,171
1587598379,36075,3373,185
1587681960,42844,3481,191
1587765483,44962,3779,200
1587860522,46558,3905,205
1587946721,48474,4074,208
1588028316,48799,4146,213
1588117925,52411,4375,225
1588205554,54101,4539,235
1588287362,56611,4708,240
1588376822,57648,4879,248
1588548783,58408,5130,253
1588642683,60046,5245,261
1588715179,61013,5822,275
1588815482,78603,5934,283
1588897443,81391,6128,294
1588994583,86428,6288,298
1589078462,86900,6440,304
1589246342,104001,6677,311
1589328642,110609,6853,321
1589420702,117395,7080,326
1589497202,121246,7225,328
1589598483,127698,7444,332
1589669403,129405,7688,334
1589848383,145238,7935,346
1589926023,153800,8069,366
1590027603,158672,8167,376
1590116371,166240,8286,386
1590220143,171338,8426,391
1590270482,171338,8571,391
