seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583909675,39,1,
1583981097,42,1,
1584055830,78,4,
1584063709,78,4,1
1584137412,80,6,1
1584225605,143,8,1
1584333620,174,8,1
1584396920,245,11,1
1584475630,399,17,1
1584498947,434,17,1
1584598356,438,21,1
1584641939,451,34,1
1584729642,461,44,1
1584814995,472,55,1
1584910163,481,64,1
1584992546,499,82,1
1585077154,499,82,2
1585081911,515,98,2
1585184300,2486,126,3
1585251221,3037,168,3
1585334649,3431,202,4
1585420273,3932,261,5
1585505264,4513,319,6
1585591374,4922,368,8
1585682138,5424,428,9
1585765641,5893,482,10
1585860363,6611,552,13
1585945562,7074,620,17
1586031902,7152,698,17
1586037362,7578,698,21
1586109542,8223,747,22
1586196603,8321,845,22
1586204522,9084,845,25
1586280603,9139,900,25
1586290502,9514,900,27
1586379182,9660,1046,27
1586401262,10183,1046,38
1586457242,10243,1106,38
1586463302,10243,1106,42
1586492163,10775,1106,42
1586548442,10835,1166,42
1586554262,11414,1166,50
1586626862,11516,1268,50
1586641922,12343,1268,55
1586713863,12412,1337,55
1586730843,13253,1337,56
1586799482,13292,1376,56
1586799543,13864,1376,62
1586908502,14147,1426,69
1586986965,14668,1494,76
1587081132,16122,1588,80
1587167222,16901,1705,84
1587257702,17676,1790,86
1587341882,18129,1849,92
1587436157,18761,1986,100
1587504827,19101,2025,107
1587598378,20203,2211,110
1587687036,21318,2482,112
1587765483,23588,2777,112
1587858656,25199,3056,117
1587956538,26227,3174,118
1588050529,27167,3328,120
1588117925,28090,3491,124
1588205554,29458,3738,125
1588293736,31626,4238,129
1588390979,33034,4449,130
1588466696,34942,4746,131
1588566059,36778,5030,134
1588644422,38603,5245,136
1588730797,40092,5458,137
1588826613,42114,5734,144
1588897197,44822,6144,147
1588995062,47708,6501,152
1589173661,52541,6984,157
1589251902,54109,7116,158
1589423598,57628,7468,164
1589607538,61592,7886,172
1589855073,66990,8340,173
1590028013,71203,8539,178
1590220143,76434,8958,185
