seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583790457,,2,
1583909675,2,2,
1584333620,7,7,
1584412310,10,10,
1584598356,16,16,
1584661658,22,22,
1584734752,26,26,
1584750868,37,37,
1584836272,48,48,0
1584921301,56,56,0
1585004414,77,77,0
1585024220,3666,77,0
1585092445,3666,90,0
1585184300,4447,95,0
1585334649,4447,106,0
1585349306,4447,120,0
1585366431,5800,120,0
1585434179,5800,151,0
1585520611,5800,175,0
1585588433,8000,175,0
1585611141,8000,204,0
1585662693,8675,204,0
1585693173,8675,224,1
1585765641,8936,224,1
1585778149,8936,258,1
1585860363,10462,258,1
1585868342,10462,285,1
1585873322,10462,285,2
1585952762,10462,319,3
1586038142,10462,351,3
1586123342,12955,351,3
1586126702,12975,371,4
1586210703,12991,387,5
1586299082,13014,410,5
1586314382,13948,410,5
1586385842,13948,435,5
1586469902,13948,442,6
1586492102,16070,442,6
1586561102,16070,465,8
1586647152,16070,486,8
1586729403,16070,499,9
1586740262,18611,499,9
1586815519,18611,504,9
1586907782,18611,517,9
1586908502,19213,517,9
1586993163,19213,530,9
1587013862,20535,530,9
1587080222,20535,541,9
1587161583,20535,553,9
1587167222,21681,553,9
1587252663,21681,574,9
1587257702,23215,574,9
1587341882,24028,580,10
1587436802,24028,584,10
1587504827,24543,584,10
1587506523,24543,586,12
1587598378,25185,592,12
1587681960,25185,596,12
1587687036,25909,596,12
1587765483,26640,596,12
1587767463,26640,601,13
1587858656,27152,604,14
1587946721,27152,606,14
1587956538,28091,606,14
1588028316,28091,607,16
1588117925,28260,609,16
1588204682,28260,613,16
1588287362,28260,618,16
1588293736,29757,618,16
1588376822,29757,619,16
1588390979,30296,619,16
1588458242,30296,620,16
1588466696,31157,620,16
1588548783,31157,620,17
1588642683,31157,621,17
1588653302,33357,621,17
1588719183,33357,625,17
1588774922,34526,625,17
1588814522,34526,626,17
1588859942,35216,626,17
1588896482,35216,629,17
1589078462,35216,631,17
1589158202,35216,632,17
1589246342,35216,634,17
1589301242,36612,634,17
1589328642,36612,635,17
1589387283,37045,635,17
1589420702,37045,638,17
1589431623,37436,638,17
1589518300,38302,638,17
1589607538,38995,638,17
1589669403,38995,639,17
1589758213,38995,640,17
1589861222,40511,640,17
1589926022,40511,641,17
1589993582,41205,641,17
1590027603,41205,643,17
1590074702,42024,643,17
1590116371,42024,647,17
1590176522,42693,647,17
1590220142,43252,647,17
1590458282,44523,647,17
